"SiteName","Locator","Latitude","Longitude","Site Type","Area","New Georeferenced Column"
"METRO","FFBLANK",,,"Freshwater - Uncategorized",,
"Point Wells","JSVW04","47.779308","-122.396828","Marine Intertidal","Central Puget Sound","POINT (-122.396828 47.779308)"
"Jefferson Head","KSBP01D",,,"Marine - Uncategorized","Central Puget Sound",
"Jefferson Head","KSBP01V",,,"Marine - Uncategorized","Central Puget Sound",
"West Green Lake Swim Beach","A734WSB","47.682167","-122.33933","Swimming Beaches","Green Lake","POINT (-122.33933 47.682167)"
"Newcastle Beach","083930SB","47.56561","-122.191475","Swimming Beaches","Lake Washington","POINT (-122.191475 47.56561)"
"Lake Washington off Chism Park","0847","47.601982","-122.23636","Large Lakes","Lake Washington","POINT (-122.23636 47.601982)"
"East Passage","NSEX01V",,,"Marine - Uncategorized","Central Puget Sound",
"Gene Coulon Park Beach","0828SB","47.5045","-122.202995","Swimming Beaches","Lake Washington","POINT (-122.202995 47.5045)"
"Christensen Creek mouth","VA23A","47.40295278","-122.5176111","Streams and Rivers","Christensen","POINT (-122.5176111 47.40295278)"
"Pritchard Island Beach","4903SB","47.529778","-122.26311","Swimming Beaches","Lake Washington","POINT (-122.26311 47.529778)"
"Houghton Beach","A422SB","47.659447","-122.2075","Swimming Beaches","Lake Washington","POINT (-122.2075 47.659447)"
"South Plant Outfall","LSEP01","47.6012001","-122.4260025","Marine Offshore","Central Puget Sound","POINT (-122.4260025 47.6012001)"
"Lake Washington near Henderson St","4903","47.522945","-122.262","Large Lakes","Lake Washington","POINT (-122.262 47.522945)"
"Fauntleroy Cove Beach","LSVW01","47.5237999","-122.3939972","Marine Intertidal","Central Puget Sound","POINT (-122.3939972 47.5237999)"
"Issaquah Creek upstream of hatchery","A631","47.52711111","-122.0384444","Streams and Rivers","Issaquah","POINT (-122.0384444 47.52711111)"
"Alki Outfall Beach","LSKR01","47.5746994","-122.4169998","Marine Intertidal","Central Puget Sound","POINT (-122.4169998 47.5746994)"
"Duwamish Head","LSFX01","47.59870806","-122.3879056","Marine Intertidal","Central Puget Sound","POINT (-122.3879056 47.59870806)"
"Forbes Creek backwater","0456","47.69691667","-122.2079444","Streams and Rivers","Forbes","POINT (-122.2079444 47.69691667)"
"Seattle Aquarium","SEAQYSI","47.607858","-122.3435972","Marine Offshore","Central Puget Sound","POINT (-122.3435972 47.607858)"
"Lake Sammamish YSI Profiler Buoy","SAMMBUOY","47.580776","-122.09017","Large Lakes","Lake Sammamish","POINT (-122.09017 47.580776)"
"Sammamish River mouth at 68th Ave NE","0450","47.75444444","-122.2499167","Streams and Rivers","Sammamish","POINT (-122.2499167 47.75444444)"
"BELLEVUE  Enatai Park Beach","ENATAISB","47.578823","-122.19704","Swimming Beaches","Lake Washington","POINT (-122.19704 47.578823)"
"Cottage Lake Creek at Tolt Pipeline","N484","47.73644444","-122.0793611","Streams and Rivers","Cottage Lake Creek","POINT (-122.0793611 47.73644444)"
"Duwamish River - Henderson/MLK Outfall","LTXQ01","47.51108","-122.296435","Marine Offshore","Central Puget Sound","POINT (-122.296435 47.51108)"
"Lake Sammamish near Issaquah Creek","0614","47.56232","-122.06706","Large Lakes","Lake Sammamish","POINT (-122.06706 47.56232)"
"Tolt River mouth","TOLT_MTH","47.63805","-121.918396","Streams and Rivers","Tolt River","POINT (-121.918396 47.63805)"
"Bear Creek downstream of Redmond Way","0484","47.669556","-122.110085","Streams and Rivers","Bear","POINT (-122.110085 47.669556)"
"Idylwood Creek mouth at Idylwood Park","A620","47.643093","-122.10252","Streams and Rivers","Idylwood","POINT (-122.10252 47.643093)"
"Point Williams - Shallow","LSNT01S","47.5371639","-122.406117","Marine Offshore","Central Puget Sound","POINT (-122.406117 47.5371639)"
"Ship Canal above locks","0512","47.664806","-122.396194","Large Lakes","Lake Union/Ship Canal","POINT (-122.396194 47.664806)"
"Cherry Creek at NE Cherry Valley Rd","CHERRY_1","47.743557","-121.941475","Streams and Rivers","Cherry Creek","POINT (-121.941475 47.743557)"
"Duwamish River - South Harbor Island","LTLF04","47.5670013","-122.3479996","Marine Offshore","Central Puget Sound","POINT (-122.3479996 47.5670013)"
"Fisher Creek at Vashon Hwy SW","VA41A","47.38398889","-122.4813889","Streams and Rivers","Fisher","POINT (-122.4813889 47.38398889)"
"Pipers Creek mouth","KSHZ06","47.71186111","-122.3794167","Streams and Rivers","Pipers","POINT (-122.3794167 47.71186111)"
"Issaquah North Fork at mouth","0632","47.55036","-122.045815","Streams and Rivers","Issaquah","POINT (-122.045815 47.55036)"
"Elliott West Outfall","LTBC43","47.6175003","-122.3619995","Marine Offshore","Central Puget Sound","POINT (-122.3619995 47.6175003)"
"Duwamish at Spokane St Bridge","0305","47.569263","-122.351234","Streams and Rivers","Duwamish","POINT (-122.351234 47.569263)"
