"Sample ID","Grab ID","Profile ID","Sample Number","Collect DateTime","Depth (m)","Site Type","Area","Locator","Site","Parameter","Value","Units","QualityId","Lab Qualifier","MDL","RDL","Text Value","Sample Info","Steward Note","Replicates","Replicate Of","Method","Date Analyzed","Data Source"
"212557","212557","85489","L80539-6","12/14/2022 03:16:00 PM","5.00","Marine Offshore","Whidbey","PSUSANBUOY","Port Susan - Stillaguamish buoy","Orthophosphate Phosphorus","0.0765","mg/L","1",,"0.005","0.01",,,,,,"SM4500-P-F S","12/15/2022","KCEL"
"219263","219263","86962","L82763-7","11/07/2023 08:28:00 AM","9.00","Marine Offshore","Whidbey","PSUSANBUOY","Port Susan - Stillaguamish buoy","Silica","2.9","mg/L","1",,"0.05","0.2",,,,,,"WHITLEDGE 1981","11/16/2023","KCEL"
"207146","207146","84185","L79202-6","06/01/2022 02:29:00 PM","5.00","Marine Offshore","Whidbey","PSUSANBUOY","Port Susan - Stillaguamish buoy","Total Suspended Solids","6.5","mg/L","1","<RDL","0.5","10",,,,,,"SM2540-D","06/02/2022","KCEL"
"215029","215029","85984","L81078-9","03/15/2023 12:48:00 PM","5.00","Marine Offshore","Whidbey","PENNCOVEENT","Penn Cove entrance","Light Intensity (PAR)","54.2","umol/sm2","1",,,,,,,,,"CTD","03/15/2023","KCEL"
"227142","227142","88527","L83498-15","04/10/2024 02:40:00 PM","11.60","Marine Offshore","Whidbey","PENNCOVEWEST","Penn Cove - west end","Ammonia Nitrogen","0.027","mg/L","1",,"0.002","0.01",,,,,,"KEROUEL & AMINOT 1997","04/11/2024","KCEL"
"212509","212509","85099","L80234-15","09/28/2022 12:49:00 PM","12.00","Marine Offshore","Whidbey","PENNCOVEWEST","Penn Cove - west end","Light Transmissivity","89.4","% light","1",,"0.01","0.02",,,,,,"CTD","09/28/2022","KCEL"
"219237","219237","86993","L81718-6","06/27/2023 10:16:00 AM","5.10","Marine Offshore","Whidbey","PSUSANBUOY","Port Susan - Stillaguamish buoy","Light Transmissivity","72.8","% light","1",,"0.01","0.02",,,,,,"CTD","06/27/2023","KCEL"
"219358","219358","86994","L81944-5","07/26/2023 11:02:00 AM","1.10","Marine Offshore","Whidbey","PSUSANBUOY","Port Susan - Stillaguamish buoy","Temperature","11.3","deg C","1",,,,,,,,,"CTD","07/26/2023","KCEL"
"212503","212503","85082","L80034-6","09/14/2022 09:50:00 AM","5.10","Marine Offshore","Whidbey","PSUSANBUOY","Port Susan - Stillaguamish buoy","Surface Light Intensity (PAR)","988","umol/sm2","1",,,,,,,,,"CTD","09/14/2022","KCEL"
"227161","227161","88522","L84130-14","07/10/2024 11:23:00 AM","5.00","Marine Offshore","Whidbey","PENNCOVEWEST","Penn Cove - west end","Surface Light Intensity (PAR)","2230","umol/sm2","1",,,,,,,,,"CTD","07/10/2024","KCEL"
"211209","211209","85072","L80455-5","11/08/2022 10:34:00 AM","0.99","Marine Offshore","Whidbey","PSUSANBUOY","Port Susan - Stillaguamish buoy","Nitrite + Nitrate Nitrogen","0.381","mg/L","1",,"0.01","0.04",,,,,,"SM4500-NO3-F","11/21/2022","KCEL"
"219302","219302","87001","L81937-5","07/12/2023 10:44:00 AM","1.00","Marine Offshore","Whidbey","PSUSANBUOY","Port Susan - Stillaguamish buoy","Salinity","28.7","PSS","1",,"2","3",,,,,,"SM2520-B","07/28/2023","KCEL"
"219273","219273","86982","L82763-13","11/07/2023 12:01:00 PM","1.00","Marine Offshore","Whidbey","PENNCOVEWEST","Penn Cove - west end","Chlorophyll, Field","1.8","ug/L","1",,"0.06","0.12",,,,,,"CTD","11/07/2023","KCEL"
"230621","230621","89282","L84950-7","11/14/2024 09:25:00 AM","9.50","Marine Offshore","Whidbey","PSUSANBUOY","Port Susan - Stillaguamish buoy","Ammonia Nitrogen","0.0069","mg/L","1","<RDL","0.002","0.01",,,,,,"KEROUEL & AMINOT 1997","11/15/2024","KCEL"
